accuracy,auc,predicted_labels,expected_labels,train_sets,test_sets,dummy_accuracy,dummy_auc,labels,n_labels,chance
40.0,64.58333333333334,['ker' 'keh' 'keh' 'ker' 'keh'],"21    k-krah
4        keh
5        kia
11       ker
15       ker
Name: id, dtype: object",[ 0 16 14 18  8  2 20 13  9  7 10 17 19  3  6 22  1 12],[21  4  5 11 15],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
80.0,89.58333333333334,['ker' 'ker' 'ker' 'kia' 'keh'],"18    k-krah
9        ker
12       ker
5        kia
4        keh
Name: id, dtype: object",[ 6  8  3 11  7  1 15 16 14 21 20 19 22  0 10 13  2 17],[18  9 12  5  4],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
80.0,100.0,['k-krah' 'keh' 'kia' 'ker' 'k-krah'],"13       ker
3        keh
8        kia
16       ker
21    k-krah
Name: id, dtype: object",[22  4  2 19 14  7 20 10  9 12  6  0  5  1 11 18 15 17],[13  3  8 16 21],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,64.58333333333334,['ker' 'keh' 'keh' 'keh' 'ker'],"17       ker
3        keh
7        kia
15       ker
19    k-krah
Name: id, dtype: object",[11  8  6 18  4 21  1 12 16 10  0  9  5 22 20 13 14  2],[17  3  7 15 19],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,71.875,['keh' 'k-krah' 'keh' 'k-krah' 'keh'],"2        keh
11       ker
6        kia
22    k-krah
15       ker
Name: id, dtype: object",[16  4 18 21  0  8 19  5 12 17  3  9 13 14 20  7 10  1],[ 2 11  6 22 15],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,73.95833333333334,['keh' 'k-krah' 'k-krah' 'keh' 'keh'],"5        kia
20    k-krah
16       ker
0        keh
15       ker
Name: id, dtype: object",[ 7 11 17  3  9 18 13  8 10  6  2 14  4 22 19 21  1 12],[ 5 20 16  0 15],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,64.58333333333334,['ker' 'keh' 'keh' 'keh' 'ker'],"9        ker
3        keh
15       ker
7        kia
19    k-krah
Name: id, dtype: object",[ 6  2 12  0 11  4  8 20 14 13 21 22  1 16 10 17 18  5],[ 9  3 15  7 19],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,73.95833333333334,['keh' 'k-krah' 'keh' 'keh' 'k-krah'],"15       ker
18    k-krah
5        kia
1        keh
11       ker
Name: id, dtype: object",[ 7 21 10 16  2 19  4 20 14 12 22  9 17  3 13  8  6  0],[15 18  5  1 11],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
60.0,89.58333333333334,['ker' 'ker' 'kia' 'kia' 'ker'],"10       ker
18    k-krah
1        keh
5        kia
14       ker
Name: id, dtype: object",[ 9 20 21 17  0  8 15  6  2 11 16 12 13 19 22  4  3  7],[10 18  1  5 14],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
60.0,100.0,['ker' 'ker' 'keh' 'ker' 'keh'],"12       ker
11       ker
6        kia
18    k-krah
0        keh
Name: id, dtype: object",[ 1 19 10  8 13 17 16  3 21  9  5  7 22 14  4  2 15 20],[12 11  6 18  0],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,73.95833333333334,['k-krah' 'keh' 'k-krah' 'keh' 'keh'],"10       ker
1        keh
19    k-krah
15       ker
8        kia
Name: id, dtype: object",[ 4 17 18  5 13 20  0  3 14 21 22 11  7  9 16  2  6 12],[10  1 19 15  8],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,73.95833333333334,['k-krah' 'k-krah' 'keh' 'keh' 'keh'],"17       ker
21    k-krah
3        keh
15       ker
5        kia
Name: id, dtype: object",[13 18 22  6 11  4 20  9  1 19  0 10 16  8 14  2 12  7],[17 21  3 15  5],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
80.0,100.0,['k-krah' 'ker' 'k-krah' 'keh' 'kia'],"9        ker
16       ker
21    k-krah
3        keh
5        kia
Name: id, dtype: object",[14 18 12 22  8  4  7  1  6  0 19 15 11 13 20  2 10 17],[ 9 16 21  3  5],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
40.0,73.95833333333334,['keh' 'keh' 'keh' 'k-krah' 'k-krah'],"0        keh
15       ker
8        kia
13       ker
21    k-krah
Name: id, dtype: object",[ 7 10 20 17 12  4 18  5  9  2 16 11  1  3  6 14 22 19],[ 0 15  8 13 21],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
80.0,100.0,['kia' 'k-krah' 'k-krah' 'ker' 'keh'],"5        kia
9        ker
19    k-krah
17       ker
3        keh
Name: id, dtype: object",[ 1 12 18  4 10  0 15 21  2  7  8 20 22 11 13  6 14 16],[ 5  9 19 17  3],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
60.0,100.0,['keh' 'ker' 'ker' 'ker' 'keh'],"2        keh
19    k-krah
17       ker
12       ker
7        kia
Name: id, dtype: object",[14 21  0  5 18  8 10  4 11 22 15 13  9  6 20 16  1  3],[ 2 19 17 12  7],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
100.0,100.0,['kia' 'ker' 'ker' 'keh' 'k-krah'],"7        kia
11       ker
12       ker
3        keh
21    k-krah
Name: id, dtype: object",[19 18  0 20  1 17  9 16 22 10  5  6 13 15  4 14  2  8],[ 7 11 12  3 21],40.0,50.0,['k-krah' 'keh' 'ker' 'kia'],4,25.0
